profession,count,statut,public_prive,fonction
Administrateur de biens,1,actif,prive,??
Agent de contrôle retraitée,1,retraite,prive,??
Agent EDF,1,actif,public,??
Agent public,1,actif,public,??
Agent technique et technicienne,1,actif,public,??
Ancien directeur d'une société de recrutement,1,retraite,prive,??
Attaché de direction,2,actif,??,??
Autre profession,4,actif,??,??
Cadre,7,actif,??,??
Cadre A de la fonction publique territoriale,2,actif,public,??
Cadre de direction,1,actif,prive,??
Cadre de la fonction publique,1,actif,public,??
Cadre de la fonction publique territoriale,1,actif,public,??
Cadre de société,1,actif,prive,??
Cadre dirigeant du secteur privé,1,actif,prive,??
Cadre du secteur privé,13,actif,prive,??
Cadre du secteur privé retraité,1,retraite,prive,??
Cadre du secteur public,3,actif,public,??
Cadre ERDF,1,actif,public,??
Cadre supérieur,1,actif,public,??
"Cadre supérieur de la fonction publique, directeur territorial",1,actif,public,??
Cadre supérieur du secteur privé,21,actif,prive,??
Chargée d'études,1,actif,prive,??
Chargée de mission,1,actif,public,??
Chef d'entreprise retraité,1,retraite,prive,??
Contractuel dans la Fonction publique territoriale,1,actif,public,??
Directeur administratif et financier,1,actif,prive,??
Directeur associé de société,1,actif,prive,??
Directeur de programme immobilier,1,actif,prive,??
Directeur de société,5,actif,prive,??
Directeur des ressources humaines,1,actif,prive,??
Directeur du développement,1,actif,prive,??
Directeur informatique,1,actif,??,??
Directrice de mission,1,actif,public,??
Directrice des ventes,1,actif,prive,??
Directrice marketing,1,actif,prive,??
Employée,1,actif,prive,??
Employée du secteur privé,1,actif,prive,??
En disponibilité,1,actif,prive,??
Etudiante,1,Sans Profession,??,??
Fonctionnaire,1,actif,public,??
Fonctionnaire de catégorie A,24,actif,public,??
Fonctionnaire de catégorie B,3,actif,public,??
Fonctionnaire de l'État en disponibilité,1,actif,public,??
Fonctionnaire des grands corps de l'État,1,actif,public,??
Fonctionnaire retraité,1,retraite,public,??
Fonctionnaire territorial,4,actif,public,??
Fonctionnaire territorial de catégorie A,1,actif,public,??
Fonctionnaire territoriale,1,actif,public,??
Informaticien,1,actif,prive,??
Ingénieur,9,actif,prive,??
Ingénieure,1,actif,prive,??
Personnel de direction,1,actif,prive,??
Profession libérale,5,actif,prive,??
Responsable de relations institutionnelles,1,actif,prive,??
Responsable Ressources Humaines en dispense d'activité,1,actif,prive,??
Retraité,4,retraite,??,??
Retraité de la fonction publique,3,retraite,public,??
Retraité de la fonction publique territoriale,1,retraite,public,??
Retraité des entreprises publiques,1,retraite,public,??
Retraité du secteur privé,5,retraite,prive,??
Retraitée de la Fonction publique,1,retraite,public,??
Retraitée de la fonction publique,4,retraite,public,??
Retraitée du secteur privé,3,retraite,prive,??
Sans profession,1,Sans Profession,??,??
Sans profession declaree,26,Sans Profession,??,??
Secrétaire de direction,1,actif,prive,??
Administrateur à l'Assemblée nationale,1,actif,public,Administration publique 
Administrateur civil,6,actif,public,Administration publique 
Administrateur civil au ministère de l'équipement,1,actif,public,Administration publique 
Administrateur civil du ministère des finances,1,actif,public,Administration publique 
Administrateur civil et avocat,1,actif,public,Administration publique 
Administrateur civil hors-classe,1,actif,public,Administration publique 
Administrateur des Finances publiques adjoint,1,actif,public,Administration publique 
Agent territorial,1,actif,public,Administration publique 
Ancien assistant parlementaire,1,retraite,public,Administration publique 
Ancien Maître des requêtes au Conseil d'Etat,1,actif,public,Administration publique 
Ancienne chef de cabinet du maire de Colomiers,1,retraite,public,Administration publique 
Assistant parlementaire,4,actif,public,Administration publique 
Assistante parlementaire,3,actif,public,Administration publique 
Attaché territorial,1,actif,public,Administration publique 
Attachée territoriale,1,actif,public,Administration publique 
Cadre administratif,4,actif,public,Administration publique 
Cadre de chambre de commerce et d'industrie,1,actif,public,Administration publique 
Cadre des collectivités locales,1,actif,public,Administration publique 
Cadre supérieur du secteur public,3,actif,public,Administration publique 
Cadre territorial,6,actif,public,Administration publique 
Cadre territorial de catégorie A,1,actif,public,Administration publique 
Chargé de mission auprès d'un conseil régional,1,actif,public,Administration publique 
Chargé de mission de l'établissement public foncier de Bretagne,1,actif,public,Administration publique 
Collaborateur de cabinet,1,actif,public,Administration publique 
Collaborateur parlementaire,1,actif,public,Administration publique 
Conseiller d'Etat,1,actif,public,Administration publique 
Conseiller d'État,2,actif,public,Administration publique 
Conseiller des affaires étrangères,1,actif,public,Administration publique 
Conseiller économique,1,actif,public,Administration publique 
